Rank;Polish;Croatian;PartOfSpeech;Grammar;ExampleCroatian;ExamplePolish;FalseFriend;FalseFriendNote;Tags;AcceptedAnswers
1;być;biti;verb;1. os. sing.: jesam (sam);Ja sam kod kuće.;Jestem w domu.;NO;;HR_0001_0500 verb conversation;[]
2;mieć;imati;verb;1. os. sing.: imam;Imaš li malo vremena?;Masz chwilę czasu?;NO;;HR_0001_0500 verb conversation;[]
3;móc;moći;verb;1. os. sing.: mogu;Ne mogu doći danas.;Nie mogę dzisiaj przyjść.;NO;;HR_0001_0500 verb conversation;[]
4;chcieć;htjeti;verb;1. os. sing.: hoću - neg. neću;Hoću ti nešto reći.;Chcę ci coś powiedzieć.;NO;;HR_0001_0500 verb conversation;[]
5;musieć;morati;verb;1. os. sing.: moram;Moram ići na posao.;Muszę iść do pracy.;NO;;HR_0001_0500 verb conversation;[]
6;robić;raditi;verb;1. os. sing.: radim;Što radiš večeras?;Co robisz dzisiaj wieczorem?;NO;;HR_0001_0500 verb work conversation;[]
7;iść;ići;verb;1. os. sing.: idem;Idem kući.;Idę do domu.;NO;;HR_0001_0500 verb conversation;[]
8;wiedzieć;znati;verb;1. os. sing.: znam;Ne znam gdje je.;Nie wiem gdzie on jest.;NO;;HR_0001_0500 verb conversation;[]
9;powiedzieć;reći;verb;1. os. sing.: kažem - imperativ: reci;Reci mi istinu.;Powiedz mi prawdę.;NO;;HR_0001_0500 verb conversation;[]
10;mówić;govoriti;verb;1. os. sing.: govorim;Govoriš li hrvatski?;Mówisz po chorwacku?;NO;;HR_0001_0500 verb conversation;[]
11;dać;dati;verb;1. os. sing.: dam;Daj mi ključeve.;Daj mi klucze.;NO;;HR_0001_0500 verb conversation;[]
12;widzieć;vidjeti;verb;1. os. sing.: vidim;Vidiš li onu zgradu?;Widzisz ten budynek?;NO;;HR_0001_0500 verb;[]
13;myśleć;misliti;verb;1. os. sing.: mislim;Mislim da imaš pravo.;Myślę że masz rację.;NO;;HR_0001_0500 verb opinions;[]
14;przyjść;doći;verb;1. os. sing.: dođem;Kad ćeš doći?;Kiedy przyjdziesz?;NO;;HR_0001_0500 verb conversation;[]
15;wziąć;uzeti;verb;1. os. sing.: uzmem;Uzmi još jedan komad.;Weź jeszcze jeden kawałek.;NO;;HR_0001_0500 verb;[]
16;znaleźć;naći;verb;1. os. sing.: nađem;Ne mogu naći mobitel.;Nie mogę znaleźć telefonu.;NO;;HR_0001_0500 verb;[]
17;dawać znać;javiti se;verb;1. os. sing.: javim se - povratni;Javi mi se sutra.;Daj mi znać jutro.;NO;;HR_0001_0500 verb conversation;[]
18;pracować;raditi;verb;1. os. sing.: radim - radim u banci;Radim u velikoj firmi.;Pracuję w dużej firmie.;NO;;HR_0001_0500 verb work;[]
19;żyć;živjeti;verb;1. os. sing.: živim;Živim u Zagrebu.;Mieszkam w Zagrzebiu.;NO;;HR_0001_0500 verb;[]
20;mieszkać;stanovati;verb;1. os. sing.: stanujem - częściej: živjeti;Stanujem u ovoj ulici.;Mieszkam na tej ulicy.;NO;;HR_0001_0500 verb home;"[""živjeti""]"
21;czekać;čekati;verb;1. os. sing.: čekam;Čekam te pola sata.;Czekam na ciebie pół godziny.;NO;;HR_0001_0500 verb conversation;[]
22;pytać;pitati;verb;1. os. sing.: pitam;Smijem li te nešto pitati?;Mogę cię o coś zapytać?;NO;;HR_0001_0500 verb conversation;[]
23;odpowiedzieć;odgovoriti;verb;1. os. sing.: odgovorim;Nije mi odgovorio na pitanje.;Nie odpowiedział mi na pytanie.;NO;;HR_0001_0500 verb conversation;[]
24;rozumieć;razumjeti;verb;1. os. sing.: razumijem;Ne razumijem te dobro.;Nie rozumiem cię dobrze.;NO;;HR_0001_0500 verb conversation;[]
25;lubić;voljeti;verb;1. os. sing.: volim;Volim ovu kavu.;Lubię tę kawę.;NO;;HR_0001_0500 verb emotions;[]
