Rank;Field;Before;After
23;Polish;odpowiadać;odpowiedzieć
26;Croatian;ljubiti;voljeti
26;Grammar;1. os. sing.: ljubim - zwykle: voljeti;"niedokonany; 1. os.: volim; voljeti może znaczyć kochać lub lubić"
26;ExampleCroatian;Ona ljubi svoju djecu.;Ona voli svoju djecu.
26;FalseFriend;YES;NO
26;FalseFriendNote;ljubiti znaczy też całować - w mowie potocznej najczęściej całować;
31;Polish;płacić;zapłacić
35;Croatian;ustati;ustajati
35;Grammar;1. os. sing.: ustanem;"niedokonany; 1. os.: ustajem"
36;Polish;otwierać;otworzyć
37;Polish;zamykać;zamknąć
45;Polish;zapominać;zapomnieć
46;Polish;pomagać;pomóc
48;Croatian;početi;počinjati
48;Grammar;1. os. sing.: počnem;"niedokonany; 1. os.: počinjem"
49;Polish;kończyć;skończyć
163;Polish;rano;poranek
163;Grammar;rodzaj nijaki - jutrom rano;rodzaj nijaki
163;ExamplePolish;Rano jest zawsze spokojnie.;Poranek jest zawsze spokojny.
163;FalseFriendNote;jutro znaczy rano - jutro to sutra;"Chorwackie jutro oznacza poranek; polskie jutro to po chorwacku sutra."
185;Croatian;pozno;kasno
185;Grammar;częściej: kasno;przysłówek
185;ExampleCroatian;Vratili smo se kasno.;Već je kasno.
185;ExamplePolish;Wróciliśmy późno.;Jest już późno.
193;Polish;za (zbyt);za dużo
194;Grammar;potocznie: i ja;"przysłówek; także"
266;Grammar;rodzaj żeński - częściej: brdo wzgórze;"rodzaj żeński; góra; brdo oznacza wzgórze"
330;Polish;czekać na coś (z niecierpliwością);cieszyć się na coś
330;ExamplePolish;Nie mogę się doczekać lata.;Cieszę się na lato.
335;Polish;dziać się;wydarzyć się
335;Grammar;1. os. sing.: dogodi se - povratni;"dokonany; 3. os.: dogodi se"
346;Polish;wyjeżdżać;wyjechać
347;Croatian;stići;stizati
347;Grammar;1. os. sing.: stignem - znaczy też zdążyć;"niedokonany; 1. os.: stižem"
354;Polish;wyjaśniać;wyjaśnić
355;Polish;wybierać;wybrać
356;Polish;decydować;zdecydować
358;Polish;kończyć się;przestać
358;ExamplePolish;Deszcz przestał.;Przestało padać.
359;Polish;otrzymywać wiadomość;otrzymać
360;Polish;wysyłać;wysłać
362;Polish;kłaść;położyć
403;Croatian;izvinite;oprostite
403;Grammar;standard hrvatski częściej: oprostite;grzecznościowo do jednej osoby lub do wielu osób
403;ExampleCroatian;Oprostite gdje je kolodvor?;Oprostite, gdje je kolodvor?
403;ExamplePolish;Przepraszam gdzie jest dworzec?;Przepraszam, gdzie jest dworzec?
420;Polish;mówić powoli;mówić wolniej
439;Croatian;apoteka;ljekarna
439;Grammar;standard hrvatski częściej: ljekarna;rodzaj żeński
439;ExampleCroatian;Ljekarna je otvorena non stop.;Gdje je najbliža ljekarna?
439;ExamplePolish;Apteka jest otwarta non stop.;Gdzie jest najbliższa apteka?
478;Polish;święta;dni wolne (świąteczne)
479;Polish;wakacje;urlop wypoczynkowy
479;ExamplePolish;Jestem na wakacjach do piętnastego.;Jestem na urlopie do piętnastego.
504;Polish;zamawiać;zamówić
504;ExamplePolish;Zamówiła rybę i salatę.;Zamówiła rybę i sałatę.
510;Polish;pożyczać (komuś);pożyczyć (komuś)
511;Polish;kończyć studia;ukończyć studia
518;Grammar;rodzaj żeński - też: čas lekcja szkolna;"rodzaj żeński; lekcja, część materiału do nauki"
520;Polish;kurs;kurs (np. językowy)
520;Croatian;kurs;tečaj
520;Grammar;rodzaj męski - też: tečaj;rodzaj męski
520;ExampleCroatian;Idem na tečaj hrvatskog.;Pohađam tečaj hrvatskog jezika.
520;ExamplePolish;Chodzę na kurs chorwackiego.;Uczęszczam na kurs języka chorwackiego.
535;Polish;ślub;wesele
535;ExamplePolish;Ślub był w sierpniu.;Wesele było w sierpniu.
542;Polish;sklep spożywczy;sklep samoobsługowy
542;Grammar;częściej: dućan lub supermarket;rodzaj żeński
542;ExampleCroatian;Skoknut ću do dućana.;Idem u samoposlugu.
542;ExamplePolish;Skoczę do sklepu.;Idę do sklepu samoobsługowego.
554;Croatian;svidjeti se;sviđati se
554;Grammar;1. os.: svidi mi se - komu: dat.;"niedokonany; 1. os.: sviđam se"
559;Croatian;potvrda;račun
559;Grammar;częściej: račun;"rodzaj męski; w sklepie: paragon, dowód zakupu"
559;ExampleCroatian;Zadrži račun za garanciju.;Molim vas račun.
559;ExamplePolish;Zachowaj paragon na gwarancję.;Poproszę paragon.
596;Croatian;dvostruki krevet;bračni krevet
596;Grammar;też: francuski ležaj;rodzaj męski
596;ExampleCroatian;Soba ima dvostruki krevet.;Soba ima bračni krevet.
604;Polish;smakować;mieć dobry smak (o jedzeniu)
604;Croatian;imati dobar ukus;imati dobar okus
604;Grammar;częściej: biti dobro;okus: smak jedzenia
604;ExampleCroatian;Ovo je stvarno dobro.;Ova juha ima dobar okus.
604;ExamplePolish;To naprawdę dobrze smakuje.;Ta zupa ma dobry smak.
605;Polish;smak;smak (jedzenia)
605;Croatian;ukus;okus
605;Grammar;rodzaj męski - znaczy też gust;rodzaj męski
