# phrase|conversation podstawy
zovem se|nazywam się|Zovem se Marko.|Nazywam się Marko.
moje ime je|mam na imię|Moje ime je Ana.|Mam na imię Ana.
kako se prezivaš|jak masz na nazwisko|Kako se prezivaš?|Jak masz na nazwisko?
prezivam se|mam na nazwisko|Prezivam se Kovač.|Mam na nazwisko Kovač.
na ti|na ty|Možemo li biti na ti?|Czy możemy być na ty?
na vi|na pan, pani|S njim sam na vi.|Zwracam się do niego per pan.
na čemu smo|na czym stoimy|Na čemu smo?|Na czym stoimy?
kako si|jak się masz|Kako si?|Jak się masz?
dobro sam|dobrze się czuję|Dobro sam.|Dobrze się czuję.
a ti|a ty|A ti.|A ty.
ništa novo|nic nowego|Ništa novo.|Nic nowego.
ne mogu se požaliti|nie mogę narzekać|Ne mogu se požaliti.|Nie mogę narzekać.
nije loše|nie jest źle|Nije loše.|Nie jest źle.
moglo bi biti bolje|mogłoby być lepiej|Moglo bi biti bolje.|Mogłoby być lepiej.
kako je prošao dan|jak minął dzień|Kako je prošao dan?|Jak minął dzień?
što radiš ovih dana|co ostatnio porabiasz|Što radiš ovih dana?|Co ostatnio porabiasz?
čime se baviš|czym się zajmujesz|Čime se baviš?|Czym się zajmujesz?
gdje radiš|gdzie pracujesz|Gdje radiš?|Gdzie pracujesz?
gdje živiš|gdzie mieszkasz|Gdje živiš?|Gdzie mieszkasz?
koliko imaš godina|ile masz lat|Koliko imaš godina?|Ile masz lat?
iz Poljske sam|jestem z Polski|Iz Poljske sam.|Jestem z Polski.
živim u Poljskoj|mieszkam w Polsce|Živim u Poljskoj.|Mieszkam w Polsce.
prvi put sam ovdje|jestem tu pierwszy raz|Prvi put sam ovdje.|Jestem tu pierwszy raz.
ovdje sam na odmoru|jestem tutaj na wakacjach|Ovdje sam na odmoru.|Jestem tutaj na wakacjach.
ovdje sam poslovno|jestem tutaj służbowo|Ovdje sam poslovno.|Jestem tutaj służbowo.
putujem sam|podróżuję sam|Putujem sam.|Podróżuję sam.
putujem s obitelji|podróżuję z rodziną|Putujem s obitelji.|Podróżuję z rodziną.
dolazim iz|pochodzę z|Dolazim iz Krakova.|Pochodzę z Krakowa.
rođen sam u|urodziłem się w|Rođen sam u Zagrebu.|Urodziłem się w Zagrzebiu.
živim sam|mieszkam sam|Živim sam.|Mieszkam sam.
živim s roditeljima|mieszkam z rodzicami|Živim s roditeljima.|Mieszkam z rodzicami.
imam brata|mam brata|Imam brata.|Mam brata.
jedinac sam|jestem jedynakiem|Jedinac sam.|Jestem jedynakiem.
u braku sam|jestem w związku małżeńskim|U braku sam.|Jestem w związku małżeńskim.
nisam u braku|nie jestem w związku małżeńskim|Nisam u braku.|Nie jestem w związku małżeńskim.
imam djecu|mam dzieci|Imam djecu.|Mam dzieci.
nemam djece|nie mam dzieci|Nemam djece.|Nie mam dzieci.
radim na daljinu|pracuję zdalnie|Radim na daljinu.|Pracuję zdalnie.
radim za sebe|pracuję na własny rachunek|Radim za sebe.|Pracuję na własny rachunek.
