id;polish;croatian;acceptedAnswers;level;topic;grammarTopic;gameTypes;gapText;gapAnswer;incorrectSentence;correctionExplanation;transformType;transformInstruction;transformAnswer;sourceType;sourceName;sourceUrl;license
hr-a1-001;Mieszkam w małym mieszkaniu.;Živim u malom stanu.;Ja živim u malom stanu.;A1;home;case;translation|builder|gap|correction|transform;Živim u ___ stanu.;malom;Živim u malu stanu.;sentences.explanations.case;negation;sentences.instructions.negation;Ne živim u malom stanu.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-002;Moja siostra pracuje w szkole.;Moja sestra radi u školi.;;A1;family;agreement;translation|builder|gap|correction|transform;Moja sestra ___ u školi.;radi;Moja sestra radim u školi.;sentences.explanations.agreement;negation;sentences.instructions.negation;Moja sestra ne radi u školi.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-003;Do obiadu piję wodę.;Uz ručak pijem vodu.;;A1;food;object;translation|builder|gap|correction|transform;Uz ručak pijem ___.;vodu;Uz ručak pijem voda.;sentences.explanations.object;negation;sentences.instructions.negation;Uz ručak ne pijem vodu.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-004;Autobus odjeżdża o ósmej.;Autobus polazi u osam.;;A1;travel;agreement;translation|builder|gap|correction|transform;Autobus ___ u osam.;polazi;Autobus polazim u osam.;sentences.explanations.agreement;negation;sentences.instructions.negation;Autobus ne polazi u osam.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-005;Kupuję chleb i mleko.;Kupujem kruh i mlijeko.;Ja kupujem kruh i mlijeko.;A1;shopping;agreement;translation|builder|gap|correction|transform;___ kruh i mlijeko.;Kupujem;Ja kupuje kruh i mlijeko.;sentences.explanations.agreement;negation;sentences.instructions.negation;Ne kupujem kruh i mlijeko.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-006;Mój ojciec lubi kawę.;Moj otac voli kavu.;;A1;family;object;translation|builder|gap|correction|transform;Moj otac voli ___.;kavu;Moj otac voli kava.;sentences.explanations.object;negation;sentences.instructions.negation;Moj otac ne voli kavu.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-007;Teraz jestem w domu.;Sada sam kod kuće.;Sada sam doma.|Sad sam kod kuće.;A1;time;agreement;translation|builder|gap|correction|transform;Sada ___ kod kuće.;sam;Ja si sada kod kuće.;sentences.explanations.agreement;negation;sentences.instructions.negation;Sada nisam kod kuće.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-008;Wieczorem czytam książkę.;Navečer čitam knjigu.;;A1;hobby;object;translation|builder|gap|correction|transform;Navečer čitam ___.;knjigu;Navečer čitam knjiga.;sentences.explanations.object;negation;sentences.instructions.negation;Navečer ne čitam knjigu.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-009;Gramy w piłkę nożną w parku.;Igramo nogomet u parku.;;A1;sport;agreement;translation|builder|gap|correction|transform;___ nogomet u parku.;Igramo;Mi igra nogomet u parku.;sentences.explanations.agreement;negation;sentences.instructions.negation;Ne igramo nogomet u parku.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-010;Rano myję ręce.;Ujutro perem ruke.;;A1;daily;agreement;translation|builder|gap|correction|transform;Ujutro ___ ruke.;perem;Ja ujutro pere ruke.;sentences.explanations.agreement;negation;sentences.instructions.negation;Ujutro ne perem ruke.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-011;Okno jest otwarte.;Prozor je otvoren.;;A1;home;gender;translation|builder|gap|correction|transform;Prozor je ___.;otvoren;Prozor je otvorena.;sentences.explanations.gender;negation;sentences.instructions.negation;Prozor nije otvoren.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-012;Mam dzisiaj dużo pracy.;Danas imam puno posla.;;A1;work;agreement;translation|builder|gap|correction|transform;Danas ___ puno posla.;imam;Ja danas ima puno posla.;sentences.explanations.agreement;negation;sentences.instructions.negation;Danas nemam puno posla.;own;Lexodromia;;LicenseRef-Lexodromia-own
hr-a1-013;Ta zupa jest ciepła.;Ova juha je topla.;;A1;food;gender;translation|builder|gap|correction|transform;Ova juha je ___.;topla;Ova juha je topao.;sentences.explanations.gender;negation;sentences.instructions.negation;Ova juha nije topla.;own;Lexodromia;;LicenseRef-Lexodromia-own
